id,temperature,pressure,humidity,wind_speed,wind_direction,precipitation,snowing,cloudiness,target
TRAIN_00040,12.550000000000011,1008.6,81.0,3.0,238.0,0.24,False,37.4,3.74
TRAIN_00041,5.590000000000032,1002.8,87.2,1.6,129.2,0.0,False,23.2,6.537
TRAIN_00042,16.301999999999964,1020.6,52.6,2.8,204.0,0.0,False,0.0,6.305
TRAIN_00043,9.209400000000073,1016.4,73.4,1.4,154.6,0.0,False,28.0,1.631
TRAIN_00044,10.504231250000032,1002.8,90.6,0.8,201.8,0.0,False,16.0,1.498
TRAIN_00045,9.728662500000041,1021.4,79.2,1.2,204.2,0.0,False,26.0,8.158
TRAIN_00046,12.988,1028.6,75.0,2.0,95.0,0.0,False,9.6,9.009
TRAIN_00047,17.289999999999964,1021.0,83.2,1.8,176.0,0.0,False,38.0,2.792
TRAIN_00048,19.062000000000012,1001.0,70.2,4.8,190.0,0.18,False,50.0,8.087
TRAIN_00049,13.118000000000052,1005.0,87.6,2.0,190.0,0.18,False,64.2,3.818
TRAIN_00050,5.564000000000078,1024.2,97.4,0.8,143.4,0.0,False,18.0,6.222
TRAIN_00051,21.886400000000037,1007.0,65.8,2.6,277.4,0.06,False,23.2,7.76
TRAIN_00052,19.508000000000038,1007.4,45.8,5.6,206.0,0.0,False,32.0,7.652
TRAIN_00053,23.59200000000004,1019.8,65.8,1.0,210.2,0.0,False,0.0,6.692
TRAIN_00054,21.789999999999964,1012.2,50.6,4.4,174.0,0.0,False,42.0,2.884
TRAIN_00055,29.625600000000077,1028.2,45.4,2.2,142.4,0.0,False,4.8,6.012
TRAIN_00056,16.824000000000012,1014.6,60.8,1.8,130.0,0.0,False,12.0,3.179
TRAIN_00057,17.678000000000054,1013.4,80.2,1.6,148.0,0.0,False,23.0,6.469
TRAIN_00058,7.6440000000000055,1030.8,92.2,1.2,128.0,0.06,False,24.6,2.103
TRAIN_00059,10.276599999999974,1030.6,92.4,1.2,158.2,0.12,False,62.4,0.561
TRAIN_00060,25.902000000000044,1017.2,45.6,3.8,156.0,0.06,False,23.0,7.001
TRAIN_00061,32.557600000000036,1030.4,43.4,1.8,205.0,0.0,False,0.0,4.087
TRAIN_00062,13.310400000000072,1017.4,59.4,2.0,151.0,0.0,False,16.4,1.928
TRAIN_00063,6.346000000000004,1019.6,90.8,0.6,53.0,0.06,False,21.4,4.746
TRAIN_00064,16.346000000000004,1016.6,61.4,2.2,148.0,0.18,False,42.0,2.553
TRAIN_00065,25.920000000000016,1025.6,47.6,2.0,58.0,0.0,False,23.0,5.804
TRAIN_00066,20.436000000000035,1012.4,67.0,4.0,186.0,0.0,False,24.0,7.703
TRAIN_00067,28.378000000000043,1018.4,38.0,2.8,58.0,0.0,False,8.0,6.061
TRAIN_00068,15.713999999999999,1026.6,60.2,3.4,170.0,0.0,False,15.0,6.155
TRAIN_00069,28.294000000000096,1017.4,50.6,1.8,182.0,0.0,False,42.0,9.224
TRAIN_00070,16.712000000000046,1028.2,62.0,2.2,146.2,0.0,False,0.0,1.543
TRAIN_00071,4.9080000000000155,1021.6,83.0,2.0,72.0,0.0,False,4.0,6.675
TRAIN_00072,10.958331250000015,1012.8,78.4,1.6,227.8,0.06,False,41.0,3.153
TRAIN_00073,21.628000000000043,1016.4,57.8,3.2,180.0,0.0,False,20.0,8.436
TRAIN_00074,28.49399999999997,1019.2,59.8,0.2,85.8,0.0,False,26.0,2.029
TRAIN_00075,16.119100000000003,1014.4,75.2,2.8,207.2,0.06,False,32.2,10.078
TRAIN_00076,31.76600000000002,1016.0,44.0,2.8,155.2,0.0,False,8.0,3.109
TRAIN_00077,17.182000000000016,1020.4,73.4,1.0,70.0,0.0,False,12.0,3.909
TRAIN_00078,12.211993749999976,1025.6,72.8,1.4,69.0,0.06,False,18.4,7.04
TRAIN_00079,6.3320000000000505,1018.2,82.6,2.6,106.0,0.06,False,49.0,2.461
TRAIN_00080,17.25200000000001,1012.2,83.4,2.0,268.0,0.06,False,24.0,4.478
TRAIN_00081,20.320799999999963,1014.4,65.2,2.0,216.0,0.06,False,62.4,3.11
TRAIN_00082,18.628000000000043,1018.4,76.0,1.4,104.0,0.0,False,41.2,2.909
TRAIN_00083,33.74200000000002,1020.8,38.6,3.2,130.0,0.0,False,16.0,7.987
TRAIN_00084,5.289500000000032,1030.0,80.2,1.6,179.4,0.0,False,11.0,8.204
TRAIN_00085,16.192000000000007,1012.6,85.0,1.2,118.0,0.0,False,27.0,4.346
TRAIN_00086,24.80800000000005,1016.0,69.2,2.8,140.0,0.06,False,23.0,2.145
TRAIN_00087,11.087999999999965,1018.2,85.6,1.0,121.0,0.0,False,19.0,5.891
TRAIN_00088,15.240000000000009,1020.4,83.0,1.8,88.0,0.0,False,8.0,4.818
TRAIN_00089,12.532000000000039,1022.8,73.8,2.6,157.6,0.0,False,56.0,8.743
TRAIN_00090,14.846000000000004,1019.6,70.4,2.6,244.0,0.0,False,8.0,5.06
TRAIN_00091,17.00267500000001,1012.2,58.2,2.2,117.2,0.06,False,13.4,9.659
TRAIN_00092,15.730000000000018,1017.4,87.6,1.6,141.4,0.12,False,57.0,2.573
TRAIN_00093,15.344000000000051,1021.8,61.0,1.2,114.2,0.0,False,17.4,8.201
TRAIN_00094,25.806700000000035,1019.4,58.6,1.4,109.0,0.0,False,9.2,9.347
TRAIN_00095,31.367999999999995,1017.4,48.2,2.6,220.0,0.0,False,8.0,13.062
TRAIN_00096,8.403999999999996,1024.6,53.2,3.4,272.0,0.0,False,15.0,11.504
TRAIN_00097,14.533000000000015,996.6,85.6,1.6,164.4,0.06,False,17.6,2.064
TRAIN_00098,23.180000000000064,1016.4,40.2,4.0,186.0,0.06,False,39.0,6.701
TRAIN_00099,21.096000000000004,1016.6,59.8,2.6,277.4,0.0,False,13.6,6.682
TRAIN_00100,19.55600000000004,1019.6,77.8,1.4,86.4,0.0,False,20.0,7.697
TRAIN_00101,16.382000000000062,1017.4,83.2,1.0,138.8,0.0,False,0.0,5.044
TRAIN_00102,7.246000000000038,1019.0,85.8,1.4,208.8,0.06,False,16.0,1.514
TRAIN_00103,18.900000000000034,1020.8,72.6,1.4,252.0,0.0,False,15.0,7.87
TRAIN_00104,25.103800000000035,1003.0,48.8,1.8,146.0,0.0,False,2.8,1.59
TRAIN_00105,15.182800000000043,1032.0,80.4,1.0,206.2,0.06,False,28.0,6.455
TRAIN_00106,17.180000000000007,1015.2,68.4,2.0,236.0,0.12,False,50.0,5.493
TRAIN_00107,7.147999999999968,1024.8,80.8,1.8,124.8,0.0,False,19.0,8.588
TRAIN_00108,20.70960000000008,1026.0,75.0,0.8,234.4,0.06,False,40.0,2.049
TRAIN_00109,7.668000000000063,1023.8,77.8,2.0,168.0,0.0,False,0.0,7.149
TRAIN_00110,13.26600000000002,1009.8,67.4,2.0,92.0,0.24,False,41.0,4.855
TRAIN_00111,13.301200000000051,1014.2,60.6,3.0,45.6,0.0,False,21.6,6.947
TRAIN_00112,14.736000000000047,1020.4,57.2,2.6,228.0,0.0,False,50.0,8.253
TRAIN_00113,25.598000000000013,1016.4,68.0,1.8,222.0,0.06,False,22.4,2.099
TRAIN_00114,25.474000000000046,1018.0,68.0,2.8,148.4,0.0,False,19.0,3.846
TRAIN_00115,4.7520000000000095,1034.2,87.0,1.6,182.0,0.0,False,8.0,1.624
TRAIN_00116,18.827999999999975,1022.0,51.0,0.6,0.0,0.0,False,19.0,5.161
TRAIN_00117,13.182000000000016,1015.4,93.6,2.2,153.8,0.18,False,60.0,8.237
TRAIN_00118,7.406268750000038,1010.0,71.8,1.4,245.4,0.06,False,14.8,5.449
TRAIN_00119,11.600000000000023,1007.2,41.2,2.8,228.0,0.0,False,23.0,9.363
TRAIN_00120,29.390000000000043,1017.4,54.2,3.8,148.0,0.0,False,27.0,4.575
TRAIN_00121,8.776000000000067,1015.0,73.4,2.8,86.0,0.0,False,27.2,3.932
TRAIN_00122,24.313999999999965,1016.2,42.8,4.4,206.0,0.0,False,43.0,7.33
TRAIN_00123,11.65200625,1013.2,76.0,1.8,199.2,0.12,False,44.0,2.243
TRAIN_00124,5.302000000000021,1032.8,94.4,0.8,84.0,0.0,False,48.2,1.829
TRAIN_00125,8.718000000000075,1009.4,41.2,2.6,110.6,0.0,False,12.0,9.781
TRAIN_00126,15.044000000000096,1008.4,71.4,5.2,152.0,0.24,False,53.0,2.888
TRAIN_00127,24.953800000000058,1014.2,64.6,1.6,133.6,0.06,False,15.2,13.911
TRAIN_00128,10.454000000000008,1018.4,54.2,2.8,242.0,0.06,False,35.0,3.022
TRAIN_00129,9.680000000000007,1029.2,85.0,3.2,170.0,0.0,False,41.0,7.336
TRAIN_00130,14.577999999999975,1017.0,66.6,4.0,182.0,0.0,False,19.0,10.468
TRAIN_00131,30.498000000000047,1015.4,64.4,4.0,210.0,0.0,False,35.0,3.466
TRAIN_00132,33.936000000000035,1019.6,36.0,3.4,124.0,0.0,False,19.0,3.966
TRAIN_00133,16.051068750000013,999.4,79.2,2.4,235.0,0.06,False,44.0,4.91
TRAIN_00134,29.472000000000037,1019.0,47.8,1.6,118.0,0.0,False,12.0,2.135
TRAIN_00135,22.00400000000002,1016.8,55.8,3.0,186.0,0.0,False,31.0,7.68
TRAIN_00136,7.960000000000036,1025.8,92.0,1.2,96.0,0.0,False,23.0,5.814
TRAIN_00137,19.761999999999944,1015.0,63.0,2.0,180.6,0.0,False,23.0,3.98
TRAIN_00138,8.228000000000009,1017.4,88.6,1.8,248.0,0.0,False,26.0,5.823
TRAIN_00139,13.766200000000026,999.6,96.0,1.4,152.4,0.0,False,40.8,2.712
TRAIN_00140,20.736000000000047,1014.6,72.2,3.6,90.0,0.18,False,43.0,7.762
TRAIN_00141,13.747675000000015,1020.2,63.6,1.0,145.2,0.06,False,47.6,9.679
TRAIN_00142,19.142862500000035,1018.2,74.8,2.8,196.4,0.6,False,42.8,4.837
TRAIN_00143,19.77800000000002,1009.6,68.6,5.8,210.0,0.36,False,46.0,10.893
TRAIN_00144,10.946000000000026,1011.2,82.0,3.2,196.0,0.06,False,55.4,10.283
TRAIN_00145,15.571799999999996,1003.4,71.8,2.0,181.6,0.06,False,0.4,7.049
TRAIN_00146,21.010000000000048,1015.4,79.4,1.6,99.4,0.0,False,23.0,7.326
TRAIN_00147,13.365325000000041,1026.2,80.2,2.0,236.6,0.18,False,19.4,8.391
TRAIN_00148,14.694668750000062,1032.8,63.0,1.2,101.2,0.0,False,0.0,6.123
TRAIN_00149,31.089999999999975,1016.0,45.2,4.4,160.0,0.0,False,20.0,2.919
TRAIN_00150,7.1200000000000045,1024.8,87.6,1.6,177.6,0.0,False,30.0,5.778
TRAIN_00151,25.84020000000004,1015.0,57.0,1.4,93.0,0.6,False,0.0,1.58
TRAIN_00152,26.660000000000082,1016.2,55.6,3.8,208.0,0.0,False,8.0,8.68
TRAIN_00153,15.012000000000057,1026.2,92.0,1.2,124.0,0.0,False,12.0,4.96
TRAIN_00154,14.419668750000028,1023.8,69.0,2.6,160.8,0.6,False,63.2,4.969
TRAIN_00155,7.954000000000008,1030.0,87.6,2.2,212.0,0.0,False,19.6,2.968
TRAIN_00156,16.498000000000047,1013.0,90.2,1.6,154.2,0.12,False,70.2,1.63
TRAIN_00157,8.5,1007.8,89.4,2.6,177.8,0.06,False,43.6,5.054
TRAIN_00158,7.560000000000059,1026.6,92.4,1.8,152.0,0.0,False,37.0,2.714
TRAIN_00159,22.95599999999996,1015.2,72.6,0.8,222.2,0.06,False,16.8,4.345
TRAIN_00160,6.486000000000047,1033.4,83.6,2.4,162.0,0.0,False,4.0,3.791
TRAIN_00161,20.668000000000063,1019.8,77.4,1.0,232.0,0.0,False,4.0,5.947
TRAIN_00162,10.726000000000056,1023.2,81.4,0.8,132.0,0.0,False,15.0,10.838
TRAIN_00163,15.762,1017.4,74.8,2.0,150.4,0.06,False,4.0,4.04
TRAIN_00164,8.176000000000045,1023.0,83.8,2.0,214.0,0.06,False,23.0,8.025
TRAIN_00165,20.461000000000013,993.4,86.0,2.2,242.8,0.12,False,40.0,2.628
TRAIN_00166,21.276000000000067,1018.6,54.8,3.0,60.0,0.0,False,19.0,1.489
TRAIN_00167,21.954000000000008,1023.6,73.0,1.0,200.0,0.0,False,10.4,4.073
TRAIN_00168,12.30600000000004,1013.2,60.4,3.8,135.8,0.0,False,35.0,6.424
TRAIN_00169,18.53200000000004,1022.0,58.8,1.8,102.0,0.0,False,0.0,7.856
TRAIN_00170,24.027000000000044,1010.6,58.6,3.4,274.0,0.06,False,35.2,13.871
TRAIN_00171,9.060000000000002,1017.0,81.0,2.2,208.2,0.0,False,26.8,7.122
TRAIN_00172,14.902000000000044,1003.8,76.0,5.6,106.0,0.24,False,63.4,11.084
TRAIN_00173,7.867999999999995,1019.0,67.6,3.8,24.0,0.18,False,38.0,7.792
TRAIN_00174,28.596000000000004,1016.6,53.4,2.2,60.0,0.06,False,42.0,2.998
TRAIN_00175,14.761600000000044,996.4,94.2,1.2,185.4,0.18,False,62.4,3.317
TRAIN_00176,28.076000000000022,1011.0,56.8,4.0,140.0,0.06,False,24.0,4.914
TRAIN_00177,10.26600000000002,1030.8,82.0,3.0,88.0,0.0,False,39.6,8.397
TRAIN_00178,17.53800000000001,1015.0,66.0,1.4,150.0,0.18,False,31.0,6.024
TRAIN_00179,20.451999999999998,1023.0,57.6,1.8,82.0,0.0,False,19.0,2.574
TRAIN_00180,19.33000000000004,1016.4,81.2,0.6,150.2,0.0,False,15.0,7.721
TRAIN_00181,12.385999999999967,1027.6,65.6,3.2,131.0,0.06,False,15.0,1.956
TRAIN_00182,29.682000000000016,1015.0,46.2,3.8,212.0,0.0,False,19.0,3.023
TRAIN_00183,16.307200000000023,1027.6,63.2,1.8,169.8,0.0,False,15.2,4.201
TRAIN_00184,12.842000000000041,1021.8,84.2,1.0,138.8,0.0,False,8.0,4.481
TRAIN_00185,32.84400000000005,1014.6,44.4,3.6,142.0,0.0,False,20.0,1.992
TRAIN_00186,9.189300000000003,1028.0,88.4,1.8,170.2,0.0,False,37.6,3.407
TRAIN_00187,8.342000000000041,1016.4,90.2,2.0,221.6,0.0,False,25.4,5.177
TRAIN_00188,24.258000000000038,1019.0,69.2,1.2,114.0,0.0,False,0.0,6.36
TRAIN_00189,14.284000000000049,1017.2,40.0,2.4,148.0,0.0,False,0.0,4.153
TRAIN_00190,24.61000000000007,1025.6,49.6,1.2,85.8,0.0,False,19.0,2.672
TRAIN_00191,23.180000000000007,1015.4,58.4,4.2,222.0,0.0,False,20.0,3.018
TRAIN_00192,12.450000000000045,1025.2,74.6,1.8,172.0,0.0,False,16.8,5.187
TRAIN_00193,14.608331250000049,999.6,71.0,2.0,209.6,0.06,False,4.2,5.841
TRAIN_00194,17.092700000000036,996.0,76.2,3.6,286.0,0.12,False,52.8,10.486
TRAIN_00195,18.848000000000013,1019.8,76.6,2.6,122.0,0.0,False,41.0,6.767
TRAIN_00196,14.47266250000007,1016.4,59.6,3.8,123.6,0.24,False,27.0,6.24
TRAIN_00197,13.445006250000006,1013.6,70.4,1.8,94.2,0.12,False,47.8,13.115
TRAIN_00198,15.57000000000005,1018.0,84.2,1.4,78.0,0.0,False,0.0,13.776
TRAIN_00199,13.817000000000007,1021.4,52.0,4.0,323.2,0.36,False,31.0,10.701
TRAIN_00200,9.802000000000021,1026.6,93.2,1.4,247.0,0.0,False,38.2,8.316
TRAIN_00201,27.201999999999998,1015.6,44.0,3.0,204.0,0.0,False,19.0,3.179
TRAIN_00202,26.466000000000008,1014.4,61.4,1.4,114.0,0.18,False,27.0,5.504
TRAIN_00203,14.07630000000006,1003.0,81.4,1.6,153.8,0.06,False,15.2,7.686
TRAIN_00204,29.786000000000058,1018.4,49.6,3.2,80.0,0.0,False,34.0,3.99
TRAIN_00205,6.998000000000047,1026.2,79.0,1.0,56.0,0.06,False,18.4,2.507
TRAIN_00206,29.236000000000047,1020.2,63.0,0.8,56.0,0.0,False,12.0,1.373
TRAIN_00207,12.640931250000051,1029.6,63.0,2.2,140.0,0.0,False,4.8,3.676
TRAIN_00208,24.394000000000005,1019.6,67.6,1.4,104.0,0.0,False,26.0,6.37
TRAIN_00209,32.153999999999996,1013.4,44.6,4.0,148.0,0.0,False,8.0,8.829
TRAIN_00210,21.792699999999968,1022.0,65.2,1.8,198.8,0.0,False,23.0,3.951
TRAIN_00211,10.938000000000045,1015.4,68.0,2.4,222.8,0.0,False,12.0,2.193
TRAIN_00212,25.062000000000012,1021.6,59.4,1.2,98.0,0.0,False,4.0,2.299
TRAIN_00213,23.00950000000006,1026.6,55.4,2.4,149.4,0.12,False,4.0,3.437
TRAIN_00214,13.926400000000058,1006.2,82.8,0.8,204.6,0.18,False,49.6,11.593
TRAIN_00215,15.986000000000047,1018.2,89.8,1.2,158.0,0.18,False,38.0,3.985
TRAIN_00216,16.116600000000062,1016.2,80.4,1.6,165.6,0.0,False,8.0,2.987
TRAIN_00217,15.010000000000048,1009.8,67.6,4.8,190.0,0.12,False,38.0,11.953
TRAIN_00218,13.758000000000038,1029.2,80.4,2.2,183.0,0.0,False,52.0,12.274
TRAIN_00219,14.658000000000015,1026.8,74.0,1.2,66.6,0.0,False,8.0,9.474
TRAIN_00220,22.96900000000005,1011.6,57.2,3.8,182.0,0.0,False,12.0,2.397
TRAIN_00221,30.612000000000023,1017.0,37.0,3.0,196.0,0.0,False,19.0,5.085
TRAIN_00222,19.74399999999997,1018.6,66.0,0.8,178.8,0.0,False,33.0,1.12
TRAIN_00223,13.910300000000007,1006.2,69.6,1.4,266.4,0.18,False,49.6,8.654
TRAIN_00224,21.854000000000042,1019.8,74.2,1.6,108.0,0.0,False,23.0,1.672
TRAIN_00225,32.06800000000004,1018.2,40.0,3.2,152.0,0.0,False,12.0,2.839
TRAIN_00226,32.90999999999997,1016.2,42.0,3.8,204.0,0.0,False,19.0,2.076
TRAIN_00227,18.059999999999945,1021.6,55.0,4.0,202.0,0.6,False,34.0,3.087
TRAIN_00228,12.899000000000058,1018.0,76.6,2.0,216.6,0.0,False,39.0,6.54
TRAIN_00229,25.34400000000005,1019.8,51.0,2.0,160.4,0.0,False,4.0,6.562
TRAIN_00230,5.348500000000058,1028.8,81.2,2.8,209.4,0.0,False,11.0,8.036
TRAIN_00231,17.856199999999944,1017.8,74.4,4.8,100.2,0.6,False,52.6,3.949
TRAIN_00232,20.488800000000026,1016.2,67.0,1.8,295.2,0.0,False,10.4,3.947
TRAIN_00233,21.054400000000044,996.4,76.6,2.6,204.8,0.12,False,27.2,4.051
TRAIN_00234,14.678462500000023,1004.0,63.6,5.2,244.4,0.0,False,15.2,8.395
TRAIN_00235,23.241999999999962,1013.4,65.2,3.8,144.0,0.06,False,49.0,1.946
TRAIN_00236,17.174000000000035,1027.4,58.6,2.4,126.0,0.0,False,4.0,6.074
TRAIN_00237,14.389006250000023,1026.2,71.6,1.0,188.6,0.06,False,15.6,6.195
TRAIN_00238,26.532400000000052,1009.4,53.0,2.0,200.0,0.0,False,24.8,7.071
TRAIN_00239,21.024000000000058,1019.2,37.6,3.6,166.0,0.0,False,0.0,3.661
TRAIN_00240,18.680000000000064,1019.8,84.0,1.0,109.0,0.0,False,22.4,6.135
TRAIN_00241,18.236000000000047,1016.4,90.0,1.4,93.0,0.0,False,54.8,5.566
TRAIN_00242,21.95599999999996,1019.2,81.4,1.2,188.0,0.0,False,1.6,3.79
TRAIN_00243,10.653999999999996,1031.4,81.6,3.4,90.0,0.0,False,46.6,8.567
TRAIN_00244,23.452200000000005,1018.2,58.4,2.2,85.0,0.12,False,43.2,5.562
TRAIN_00245,26.212000000000046,1018.8,46.4,3.0,115.8,0.0,False,24.0,0.873
TRAIN_00246,22.836000000000013,1015.4,74.0,3.0,106.4,0.0,False,39.8,2.859
TRAIN_00247,26.562000000000012,1018.0,49.0,3.2,178.0,0.6,False,20.0,8.383
TRAIN_00248,11.07000000000005,1020.4,82.6,1.0,77.0,0.0,False,0.0,2.215
TRAIN_00249,6.216000000000008,1021.0,83.4,1.6,253.8,0.06,False,4.0,6.943
TRAIN_00250,6.374000000000024,1027.4,92.2,2.2,214.0,0.0,False,19.0,1.792
TRAIN_00251,15.632000000000005,1013.8,87.8,1.8,253.8,0.06,False,23.0,8.275
TRAIN_00252,18.262,1010.6,93.8,2.0,200.2,0.12,False,39.0,3.619
TRAIN_00253,15.219268750000026,1023.2,61.6,1.6,153.6,0.0,False,9.2,6.553
TRAIN_00254,27.80740000000003,1008.8,57.6,2.4,190.0,0.06,False,30.4,8.446
TRAIN_00255,34.32000000000005,1017.0,42.2,4.4,174.0,0.0,False,16.0,14.609
TRAIN_00256,22.116000000000042,1021.4,61.2,2.4,138.2,0.0,False,27.0,3.506
TRAIN_00257,5.9780000000000655,1026.4,92.2,1.8,149.4,0.0,False,0.0,1.291
TRAIN_00258,26.52800000000002,1018.0,54.2,2.4,185.4,0.0,False,35.0,2.911
TRAIN_00259,7.326000000000022,1012.0,69.8,3.8,222.0,0.0,False,19.0,6.585
TRAIN_00260,12.400000000000034,1012.0,87.6,3.4,139.0,0.06,False,51.4,3.628
TRAIN_00261,17.774,1022.0,86.0,2.0,133.0,0.6,False,20.0,3.267
TRAIN_00262,6.498000000000047,1025.2,80.8,1.8,254.0,0.0,False,12.0,2.502
TRAIN_00263,12.166500000000042,1018.8,80.6,1.8,272.6,0.18,False,35.8,5.94
TRAIN_00264,13.446000000000026,1023.4,73.4,1.6,141.6,0.0,False,15.0,7.143
TRAIN_00265,28.346000000000004,1017.8,50.6,4.2,210.0,0.0,False,23.0,2.741
TRAIN_00266,9.279700000000048,999.2,80.6,4.0,169.6,0.24,False,58.6,11.599
TRAIN_00267,21.120000000000005,1017.4,38.2,4.4,206.0,0.0,False,8.0,6.754
TRAIN_00268,11.666500000000042,1025.8,70.6,1.2,188.2,0.0,False,9.6,11.93
TRAIN_00269,21.564000000000078,1018.4,78.8,1.2,118.2,0.0,False,23.0,5.008
TRAIN_00270,14.110000000000014,1019.4,73.8,3.0,306.2,0.0,False,19.0,12.474
TRAIN_00271,21.49000000000001,1017.2,78.6,1.8,234.0,0.06,False,28.0,4.8
TRAIN_00272,8.270000000000039,1035.0,97.2,1.4,193.8,0.0,False,4.8,2.005
TRAIN_00273,22.82800000000003,1020.4,44.0,1.2,52.0,0.0,False,0.0,4.255
TRAIN_00274,10.458000000000027,1019.2,66.0,3.2,68.6,0.0,False,34.0,2.242
TRAIN_00275,15.701999999999998,1026.4,77.0,1.2,151.8,0.0,False,4.0,2.711
TRAIN_00276,14.850000000000023,1016.6,71.4,1.2,144.4,0.0,False,4.0,4.441
TRAIN_00277,20.024,1014.4,50.2,2.4,88.0,0.0,False,12.0,2.034
TRAIN_00278,29.05600000000004,1014.0,53.0,1.4,106.0,0.0,False,19.0,2.154
TRAIN_00279,2.684600000000046,1011.6,73.4,3.4,101.2,0.0,False,8.8,4.46
TRAIN_00280,12.667675000000031,1021.4,59.8,3.8,324.0,0.36,False,37.2,10.47
TRAIN_00281,14.153999999999996,1019.2,79.8,3.0,168.0,0.18,False,12.0,4.428
TRAIN_00282,10.24150000000003,1016.6,89.4,4.0,89.6,0.3,False,74.4,8.48
TRAIN_00283,6.28000000000003,1016.6,89.0,2.8,206.0,0.0,False,0.0,12.283
TRAIN_00284,8.470000000000027,1021.6,87.4,1.0,110.0,0.0,False,15.0,11.087
TRAIN_00285,26.964,1015.0,61.4,0.6,72.0,0.0,False,15.0,2.22
TRAIN_00286,8.388000000000034,1030.0,74.6,2.6,82.0,0.0,False,15.0,2.985
TRAIN_00287,10.646000000000015,1007.6,90.0,2.2,235.2,0.06,False,34.0,13.844
TRAIN_00288,23.400000000000034,994.8,53.6,5.2,164.8,0.06,False,56.2,5.943
TRAIN_00289,34.30400000000003,1016.8,48.0,3.6,180.0,0.0,False,4.0,6.1
